Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
1.0,3.0,4.0,6.0,2.0,7.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
29.0,32.0,61.0,23.0,6.0,68.0,40.0,28.0,37.0,26.0,37.0,27.0,44.0,33.0,33.0,43.0,24.0,16.0,42.0,25.0,56.0,52.0,23.0,20.0,53.0,65.0,20.0,26.0,18.0,14.0,15.0,16.0,37.0,19.0,28.0,33.0,81.0,7.0,63.0,90.0,16.0,21.0,27.0,10.0,2.0,6.0,108.0,25.0,19.0,13.0,95.0,22.0,13.0
7.0,7.0,6.0,9.0,7.0,7.0,7.0,12.0,7.0,7.0,8.0,10.0,7.0,2.0,3.0,7.0,10.0,5.0,0.0,6.0,7.0,8.0,0.0,6.0,11.0,11.0,4.0,3.0,9.0,7.0,9.0,0.0,6.0,10.0,7.0,1.0,5.0,7.0,9.0,4.0,1.0,12.0,9.0,8.0,0.0,6.0,7.0,9.0,2.0,4.0,8.0,9.0,4.0
10.0,126.0,95.0,180.0,260.0,181.0,607.0,655.0,30.0,112.0,124.0,551.0,193.0,3.0,96.0,334.0,493.0,272.0,230.0,179.0,55.0,6.0,0.0,0.0,1.0,4019.0,16003.0,104.0,27397.0,3570.0,480.0,81.0,302.0,94.0,727.0,275.0,24.0,114.0,435.0,1122.0,138.0,41.0,5003.0,2720.0,2.0,275.0,17.0,91.0,1001.0,16.0,110.0,95.0,150.0
3.0,65.0,5.0,29.0,22.0,7.0,19.0,24.0,9.0,17.0,13.0,9.0,28.0,14.0,3.0,9.0,15.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,2.0,1.0,12.0,13.0,11.0,10.0,10.0,8.0,10.0,23.0,0.0,6.0,69.0,12.0,3.0,6.0,8.0,8.0,61.0
0.0,0.0,0.0,75.0,40.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,15.0,18.0,31.0,3.0,2.0,24.0,21.0,31.0,2.0,22.0,10.0,31.0,8.0,0.0,0.0,0.0,0.0,0.0,13.0,31.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
4.0,34.0,636.0,3.0,284.0,346.0,86.0,11.0,3.0,4.0,613.0,40.0,373.0,2.0,4.0,247.0,34.0,21.0,2.0,18.0,12.0,11.0,0.0,9.0,7.0,8.0,1.0,1.0,5.0,5.0,4.0,0.0,6.0,18.0,6.0,2.0,3.0,3.0,10.0,3.0,0.0,6.0,31.0,60.0,9.0,11.0,12.0,40.0,1.0,1501.0,283.0,123.0,1053.0
33.0,14.0,216.0,10308.0,17.0,35.0,15.0,63.0,88.0,51.0,4.0,10.0,24.0,3.0,2.0,114.0,41.0,11.0,0.0,11.0,8.0,13.0,0.0,5.0,7.0,6.0,11.0,2.0,6.0,11.0,9.0,0.0,7.0,6.0,19.0,1.0,4.0,9.0,12.0,4.0,1.0,9.0,7.0,33.0,0.0,10.0,9.0,163.0,3.0,6.0,162.0,29.0,10.0
8.0,27.0,14.0,24.0,18.0,76.0,22.0,42.0,6.0,16.0,27.0,63.0,29.0,48.0,3.0,22.0,16.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,20.0,18.0,0.0,55.0,16.0,68.0,0.0,28.0,47.0,3.0,11.0,0.0,45.0,54.0,24.0,0.0,15.0,50.0,21.0,4.0,16.0,63.0,24.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,3.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
