Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
3.0,1.0,1.0,0.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,2.0,7.0,5.0,7.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,3.0,5.0,3.0,5.0
4.0,62.0,21.0,88.0,13.0,21.0,27.0,12.0,12.0,19.0,19.0,21.0,27.0,14.0,20.0,13.0,26.0,24.0,457.0,35.0,30.0,32.0,22.0,23.0,36.0,32.0,25.0,58.0,23.0,31.0,66.0,27.0,58.0,18.0,56.0,112.0,91.0,21.0,48.0,58.0,96.0,14.0,21.0,142.0,45.0,103.0,25.0,117.0,24.0,33.0,58.0,80.0
8.0,5.0,8.0,8.0,7.0,9.0,11.0,7.0,8.0,7.0,6.0,6.0,9.0,8.0,10.0,9.0,9.0,7.0,10.0,6.0,8.0,14.0,7.0,9.0,12.0,14.0,11.0,14.0,8.0,10.0,7.0,12.0,7.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,6.0,7.0,7.0,8.0,7.0,5.0,6.0
165.0,378.0,436.0,28.0,310.0,55.0,24.0,510.0,229.0,95.0,16.0,57.0,92.0,102.0,122.0,328.0,633.0,564.0,98.0,25.0,16.0,5.0,6.0,20.0,12.0,189.0,13065.0,1484.0,208.0,3062.0,84.0,8454.0,425.0,146.0,257.0,148.0,1818.0,418.0,153.0,183.0,396.0,853.0,775.0,28.0,30.0,66.0,1021.0,10.0,70.0,32.0,33.0,725.0
7.0,19.0,24.0,17.0,14.0,19.0,21.0,22.0,21.0,11.0,10.0,12.0,10.0,10.0,7.0,7.0,12.0,17.0,11.0,3.0,4.0,2.0,3.0,1.0,2.0,8.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,7.0,5.0,15.0,23.0,16.0,37.0,13.0,61.0,26.0,12.0,14.0,20.0,17.0,14.0,26.0,39.0
0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,14.0,14.0,70.0,19.0,0.0,4.0,6.0,18.0,11.0,6.0,19.0,2.0,4.0,3.0,9.0,8.0,13.0,11.0,9.0,6.0,47.0,48.0,22.0,68.0,18.0,17.0,92.0,45.0,54.0,32.0,500.0,25.0,0.0,0.0,0.0,0.0,40.0
119.0,41.0,34.0,206.0,4.0,266.0,96.0,2.0,7.0,5.0,16.0,10.0,26.0,2.0,3.0,125.0,196.0,37.0,50.0,4.0,3.0,6.0,14.0,2.0,10.0,2.0,3.0,1.0,6.0,0.0,1.0,4.0,6.0,4.0,35.0,4.0,13.0,24.0,9.0,4.0,13.0,9.0,516.0,40.0,87.0,35.0,412.0,98.0,139.0,3.0,2.0,8.0
42.0,51.0,16.0,55.0,32.0,37.0,12.0,16.0,10.0,16.0,18.0,6.0,7.0,16.0,6.0,17.0,10.0,16.0,16.0,10.0,4.0,10.0,8.0,12.0,3.0,9.0,7.0,7.0,9.0,17.0,7.0,13.0,5.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,8.0,18.0,9.0,22.0,8.0,106.0,7.0,17.0,24.0,58.0,16.0,23.0
28.0,47.0,37.0,29.0,63.0,40.0,6.0,4.0,21.0,6.0,85.0,11.0,23.0,17.0,8.0,27.0,7.0,7.0,6.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,17.0,10.0,13.0,32.0,13.0,47.0,19.0,37.0,20.0,19.0,27.0,32.0,6.0,28.0,50.0,85.0,37.0,38.0,15.0,54.0,144.0,40.0,23.0,14.0,114.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,12.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
6.0,11.0,1.0,0.0,0.0,0.0,2.0,8.0,11.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,5.0,4.0,23.0,4.0,4.0,5.0,2.0,4.0,5.0,11.0,2.0,9.0,6.0,55.0,20.0,48.0,16.0,20.0,17.0,6.0,10.0
135.0,192.0,283.0,31.0,68.0,41.0,61.0,130.0,46.0,48.0,42.0,71.0,58.0,352.0,332.0,538.0,187.0,209.0,14.0,82.0,137.0,50.0,0.0,0.0,6.0,1.0,3.0,16.0,49.0,75.0,146.0,753.0,461.0,23.0,50.0,54.0,416.0,65.0,21.0,151.0,246.0,31.0,24.0,42.0,62.0,155.0,380.0,141.0,40.0,45.0,150.0,348.0
14.0,12.0,18.0,14.0,12.0,15.0,12.0,17.0,12.0,7.0,13.0,11.0,18.0,20.0,20.0,19.0,22.0,14.0,22.0,14.0,16.0,20.0,21.0,21.0,21.0,19.0,15.0,14.0,16.0,30.0,15.0,19.0,26.0,20.0,36.0,22.0,22.0,18.0,15.0,16.0,22.0,18.0,12.0,6.0,15.0,4.0,4.0,11.0,7.0,9.0,12.0,11.0
54.0,30.0,52.0,37.0,76.0,49.0,42.0,47.0,45.0,97.0,37.0,46.0,226.0,68.0,77.0,89.0,90.0,73.0,38.0,21.0,18.0,17.0,27.0,26.0,14.0,16.0,19.0,14.0,12.0,19.0,24.0,11.0,12.0,14.0,34.0,17.0,20.0,24.0,29.0,101.0,85.0,75.0,142.0,89.0,65.0,93.0,100.0,161.0,31.0,120.0,129.0,109.0
