Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
8,6,6,3,8,8,7,9,6,12,12,8,15,13,15,13,38,17,20,30,17,33,25,15,10,7,18,9,8,15,18,6,12,15,6,10,8,10,10,17,7,5,5,5,3,8,8,8,5,3,7,11
2,4,2,1,0,1,1,0,1,2,3,1,4,3,0,4,4,0,1,5,2,2,1,1,3,5,1,2,4,1,3,0,2,1,3,0,2,9,5,1,5,2,2,4,3,2,0,1,1,1,2,0
8,5,1,2,2,0,1,1,0,2,0,0,2,3,5,11,14,8,0,0,0,1,0,0,0,0,3,1,5,4,1,2,8,4,2,5,2,1,0,4,5,4,3,1,3,5,2,0,1,0,0,1
7,6,6,3,4,4,7,0,5,2,4,6,5,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,3,4,5,7,10,5,2,2,7
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,2,0,0,1,2,1,0,2,4,6,3,1,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,1,2,3,5,1,2,3,0,2
2,1,5,5,1,3,3,3,2,3,1,3,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,1,0,1,3,1,2,1,3,2,2,2
11,4,6,2,0,1,7,0,4,1,2,3,3,6,4,2,6,0,0,0,0,0,0,0,0,0,0,1,6,3,4,7,9,2,12,3,6,5,2,14,3,5,2,7,3,2,12,2,2,3,6,6
1,1,0,3,1,2,1,5,3,1,3,0,3,1,0,0,2,0,1,0,2,0,0,1,0,0,3,3,3,6,4,5,2,7,2,3,3,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0
23,4,12,10,6,7,3,2,6,6,5,4,11,1,5,10,7,12,4,3,1,0,0,0,0,0,0,0,1,2,2,2,4,5,0,3,4,5,7,3,9,1,3,19,8,12,11,8,43,16,8,26
2,2,1,3,1,2,0,1,1,3,2,1,1,0,1,0,1,1,2,1,2,5,1,2,2,1,0,4,3,3,2,2,2,2,5,3,2,5,6,0,2,1,8,1,1,1,0,0,0,0,0,1
7,5,10,7,7,8,11,5,8,13,12,10,2,4,7,6,2,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,1,7,10,7,4,6,13,8,15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,4,1,0,2,1,2,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,12,9,2,8,8,1,8,3,7,10,1,7,13,4,2,4,3,5,10,5,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1
14,4,4,6,6,5,12,12,15,11,2,2,5,4,2,2,0,0,1,0,1,2,1,1,3,7,0,3,1,1,2,1,1,1,0,1,2,3,15,10,8,9,2,1,7,10,8,7,5,5,7,5
2,3,3,5,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,11,9,7,7,10,12
12,2,1,3,1,0,3,3,1,3,2,1,3,4,1,3,6,7,3,0,2,0,0,0,1,6,3,2,4,11,3,3,3,2,5,3,1,6,5,9,5,2,2,6,3,3,4,6,5,3,6,8
8,8,6,7,6,8,7,6,7,12,24,7,12,4,7,7,6,10,6,4,2,3,4,3,2,0,1,1,0,0,0,3,0,0,0,1,3,1,1,2,6,5,4,4,5,4,7,4,9,10,10,20
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,2,0,1,1,1,0,0,0,2,1,0,0,0,1,5,1,3,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0
12,23,10,12,11,12,13,16,7,19,13,10,5,10,6,7,5,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,2,9,6,1,3,4,3,6,7,9,10,9,14,10,12,21,17
4,1,1,3,0,1,4,1,4,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,0,1,1,2,1,1,1,0,4,6,0,0,2,3,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,0,1,0,0,1,1,0,1,1,1,1,2,2,0,0,2,0,3,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,0,0,0,0,1,1,0,2
0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,2,0,1,2,1,0,3,2,0,7,0,0,0,0,0,0,0,0,2,2,1,3,3,0,3,3,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1
3,5,3,1,1,1,2,0,0,2,3,1,3,4,3,3,0,3,0,2,3,2,3,1,6,5,3,0,1,3,2,2,1,0,0,1,0,2,2,4,11,7,2,2,5,3,3,5,4,2,0,5
5,3,4,1,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
21,12,17,16,30,21,29,23,28,29,19,21,43,25,33,48,92,58,39,25,18,35,28,18,25,22,14,14,17,18,20,25,22,22,19,18,15,24,39,33,23,30,22,25,23,14,26,21,23,15,26,39
12,7,6,3,6,0,9,6,2,2,1,1,2,2,5,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,4,4,6,5,5,1,5,7,5
2,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,0,0,0,1,1,2,2
5,2,1,4,1,0,0,1,5,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,3,1,2,2,1,4,3,1,0,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,1,0,0,1,0,1,1,3,4,2,4,3,9,3,1,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0
1,1,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,0,0,0,0,0,1,0,1,7,1,0,0,0,0
14,11,2,5,10,2,11,7,2,7,2,4,4,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,8,10,13,4,1,2,9
5,3,4,3,2,5,5,4,6,3,5,2,2,2,3,4,7,2,3,3,8,8,3,6,3,7,4,4,3,3,2,5,2,5,6,4,5,5,8,5,2,2,5,4,1,3,1,2,1,3,2,9
0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,0,4,1,4,1,1,1,2,1,4
0,2,3,0,0,2,1,4,0,2,1,0,0,4,3,9,17,12,19,7,13,16,9,9,6,16,8,7,5,12,3,3,3,4,4,4,4,2,3,0,4,2,1,0,1,2,1,3,3,2,1,1
0,0,0,0,1,0,0,1,2,1,4,7,9,5,6,7,2,0,1,1,0,0,0,0,0,1,0,2,2,5,3,3,6,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,3,13,7,10,14,17,7,9,2,10,7,3,6,7,6,7,9,3,4,4,4,8,7,12,5,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0
4,2,3,3,3,3,1,4,3,3,2,9,2,3,6,3,15,8,5,4,6,3,4,1,4,5,2,1,1,0,2,2,1,3,2,4,1,2,0,1,3,2,2,4,1,3,1,1,4,1,7,3
23,17,28,27,20,14,19,19,19,17,7,6,13,11,13,2,9,6,8,5,5,4,8,3,9,4,7,3,6,12,11,7,7,12,6,2,10,8,10,18,21,17,19,23,15,18,33,21,30,26,23,61
9,1,3,4,9,9,9,11,7,7,15,3,9,15,14,11,31,27,22,24,31,22,23,27,29,22,20,30,21,29,16,23,18,7,26,17,14,18,22,22,9,17,16,13,9,5,6,3,10,4,5,10
0,0,0,0,0,0,0,0,0,0,0,3,6,7,10,10,24,16,19,11,12,15,16,17,1,11,20,6,6,7,6,5,1,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,17,12,11,9,19,9,15,6,5,6,8,4,1,4,17,6,1,1,0,1,0,2,0,1,3,0,2,1,0,1,3,1,2,2,3,4,4,1,3,5,4,8,2,11,8,10,9,10,6,25
