Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
2,3,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
14,17,16,22,21,20,11,29,26,26,20,40,43,13,28,102,61,51,43,41,50,38,40,38,27,31,38,35,30,29,17,26,30,30,32,27,26,21,23,35,15,19,16,18,23,24,17,20,17,14
4,4,4,1,6,1,1,8,1,4,4,7,6,2,2,5,5,7,8,7,7,1,4,5,5,6,8,4,8,5,2,6,2,1,4,2,2,4,8,6,1,5,6,2,5,3,8,9,5,2
4,3,9,0,3,7,4,3,5,1,5,4,4,0,9,11,1,0,0,0,0,0,3,2,8,15,11,15,10,18,12,8,12,8,8,1,2,4,5,5,5,0,2,3,7,4,5,3,2,3
4,6,9,7,5,8,9,5,4,4,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,3,4,8,12,5,10,8,7,7,7,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,12,0,2,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
1,2,4,1,3,0,1,0,0,5,1,1,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,5,2,1,1,1,6,5,4,10,1,12,7,5,3,3,2
7,10,10,14,8,6,2,11,4,9,4,1,1,1,0,0,2,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3,5,5,12,2,2,8,7,10,17,11
7,7,8,10,7,4,3,12,9,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,16,12,8,13,14,19,13,12,12,13,12,13,11,15,13,17,11,10,12,13,8,10
2,1,1,1,1,2,6,6,3,5,4,6,6,0,0,0,0,1,1,1,0,0,0,0,0,5,5,1,1,3,0,0,0,1,1,1,0,0,7,1,2,1,1,2,1,2,0,1,0,1
11,4,13,9,10,12,23,7,7,6,5,8,8,3,2,3,2,0,0,0,0,0,0,1,0,7,6,5,5,6,4,7,10,11,8,7,6,11,3,11,5,9,20,11,4,4,9,14,12,14
4,5,8,8,3,3,7,2,5,9,2,6,8,7,2,1,1,2,3,0,5,10,1,7,8,2,4,5,10,6,10,3,6,9,2,9,3,6,10,2,11,3,3,4,4,0,4,1,4,1
20,19,41,21,19,18,13,24,6,29,10,14,14,5,2,1,2,2,2,0,1,0,1,1,0,2,2,0,0,1,0,2,3,0,1,0,5,10,2,18,24,17,22,26,25,16,31,35,47,18
0,0,0,0,1,0,0,0,1,0,1,0,1,0,7,28,18,17,8,5,11,28,6,14,16,11,13,13,14,7,3,5,10,15,20,14,10,6,3,0,2,0,1,1,1,1,1,0,3,0
12,11,5,12,6,3,10,12,10,10,10,9,5,5,1,1,3,2,2,2,5,2,6,3,1,1,1,0,1,0,2,0,0,0,4,11,23,32,27,30,24,28,51,31,29,32,35,16,22,15
12,9,28,12,13,1,6,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,6,9,29,29,27,18,13,55
10,7,7,6,4,8,3,12,7,3,3,6,3,0,3,3,4,9,7,3,3,5,5,8,16,16,6,16,18,6,8,8,13,5,14,6,3,13,7,6,11,13,22,11,15,12,11,17,11,12
