Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
39,38,28,32,37,38,30,44,56,52,56,53,46,66,46,68,124,87,56,50,61,62,67,55,47,44,38,42,32,45,39,28,43,37,30,38,26,39,31,27,32,17,17,17,27,16,17,14,16,21,25,21,14
4,12,4,5,5,1,4,4,7,4,4,5,4,10,3,9,19,9,6,10,7,8,6,2,3,3,5,8,3,2,6,8,6,5,5,7,6,1,5,6,4,6,2,3,4,3,5,4,4,3,5,0,3
2,6,2,3,3,3,3,1,3,1,6,1,1,7,22,28,31,17,12,0,0,0,0,1,0,3,18,25,37,14,13,23,18,24,24,19,30,13,3,3,3,3,5,2,3,0,4,1,1,3,25,14,4
15,15,11,11,8,9,8,9,8,14,2,7,7,6,6,2,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0,2,10,8,8,7,5,3,15,8,4
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,2,2,7,3,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,3,1,1,1,0,1,0,1,3,0,6,8,5,1,4,12,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,5,12,15,15,4,11,4,2,1,12,3,0
14,12,19,14,11,11,13,7,4,6,2,4,8,3,1,3,4,2,3,1,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,2,0,11,16,10,6,11,3,5,4,10,9
9,10,6,13,7,6,7,5,9,6,4,9,8,6,12,3,5,4,2,0,0,0,0,1,0,0,0,1,3,3,10,7,9,13,10,17,15,22,14,6,5,9,18,18,9,14,15,9,5,7,8,5,9
1,0,0,0,0,0,0,3,0,0,0,4,1,1,2,3,1,0,4,2,0,0,1,1,3,1,6,4,4,3,0,5,3,5,3,2,1,0,3,0,0,1,1,8,8,4,8,2,7,6,10,16,0
20,19,15,7,7,14,20,7,6,4,6,7,9,4,8,11,7,9,5,3,0,0,1,0,0,0,1,1,1,3,2,9,9,9,8,12,17,15,9,11,7,15,15,29,9,8,24,13,8,20,24,29,11
4,3,2,2,2,3,7,4,3,3,1,2,9,6,6,3,1,3,1,3,4,6,6,6,2,2,6,11,4,2,3,11,1,4,3,4,4,5,2,3,2,2,2,3,1,1,5,1,0,2,3,2,2
32,26,23,23,25,24,28,29,20,17,25,27,27,14,13,3,11,4,3,3,1,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,4,8,9,6,21,20,22,29,28,24,42,24,11,21,14
1,0,0,1,0,0,1,0,0,0,0,0,3,0,2,3,11,25,28,9,25,16,21,18,13,24,22,22,13,23,25,11,17,20,37,26,21,21,11,11,1,2,1,3,0,0,0,0,0,0,0,1,0
22,21,15,21,14,12,14,10,25,26,8,14,12,12,7,5,4,2,5,4,3,11,12,6,5,11,4,13,2,7,4,2,0,1,0,1,3,28,19,13,24,11,14,7,7,7,9,13,13,16,27,14,11
14,13,11,16,10,4,6,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,9,15,38,43,36,33,30,12,5
18,25,13,14,18,10,9,14,7,10,5,1,5,4,7,7,12,15,13,3,8,4,4,10,5,8,4,8,9,7,5,5,8,16,11,10,15,12,12,10,7,7,11,13,12,17,22,20,9,15,14,11,10
36,30,33,15,45,30,25,18,50,18,36,39,36,30,22,21,43,15,10,11,8,9,13,16,9,8,1,1,2,2,4,0,0,3,3,3,7,4,8,8,11,11,14,14,27,23,21,19,13,17,16,25,11
0,2,0,1,0,0,1,0,0,0,0,0,1,0,3,3,11,4,8,3,8,1,5,3,2,2,0,7,2,4,3,8,7,3,5,1,3,1,4,4,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,1,1,0,2,5,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,76,55,36,57,38,29,28,44,28,32,37,35,40,40,20,4,5,1,3,1,2,0,2,0,0,1,1,0,0,1,1,5,1,5,10,8,19,25,38,12,16,26,14,41,34,35,42,38,23,47,24,36
13,5,1,4,0,3,12,3,4,1,2,4,4,8,4,1,3,0,0,0,0,0,1,0,0,0,0,1,1,3,1,1,1,5,2,3,2,1,1,1,0,2,6,8,2,1,3,2,2,1,3,1,2
5,2,3,2,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,0,1,3,1,3
1,1,2,1,3,1,2,11,2,2,0,0,1,4,2,1,4,2,0,2,2,1,0,1,2,1,0,0,0,3,3,1,2,0,3,1,4,0,2,1,1,0,0,0,0,0,1,1,0,0,0,1,0
5,4,0,0,0,4,7,2,3,5,0,0,4,3,0,1,1,1,2,2,1,5,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,9,0,1,0,0,0
0,2,0,1,2,0,0,0,2,2,0,0,0,0,0,1,2,6,4,2,0,1,1,0,0,0,0,0,2,3,2,2,4,8,3,6,4,9,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,2,3,3,1,0,1,2,1,0,1,0,0,0,5,13,1,3,4,8,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,3,2,0,0,1,1,0,0,1,1,1,6,1
2,3,5,0,2,0,2,0,0,3,9,4,1,2,3,0,1,2,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1
4,1,1,0,0,0,0,3,0,5,3,0,0,2,0,3,1,0,2,1,0,0,1,0,0,3,0,0,1,1,0,1,9,3,0,6,6,3,7,8,10,7,0,0,1,0,1,0,0,0,0,0,0
82,67,74,82,64,76,74,72,80,91,84,68,76,80,81,75,136,125,96,83,96,62,84,69,54,49,58,61,46,51,52,33,49,53,74,72,49,84,68,64,68,69,54,59,53,59,67,47,54,45,45,48,29
11,22,17,10,9,11,7,8,7,8,3,18,12,10,9,12,10,10,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,7,11,13,8,6,7,21,13,7,5,18,11,11
3,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,4,2,1,1,2,2,1,0,1,0,1,0,0,0,1,0,0,0,2,0,2,2,2,0,2,7,6,0,2,2,0,0
13,6,9,3,5,9,3,3,6,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,1,3,6,5,2,5,5,9,1,3,4
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0,3,1,4,2,0,2,3,2,8,8,5,5,2,4,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
