Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-48,Week-49,Week-50,Week-51,Week-52
1,0,0,0,1,1,3,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,3,5,1,0,1,0,1,1,1
30,24,23,24,18,33,41,28,28,38,45,45,41,55,46,52,102,84,81,62,54,43,47,40,42,26,37,45,33,43,23,44,40,42,46,50,40,37,40,25,21,21,12,2,17,18,12,25,31
1,2,3,1,4,5,9,4,1,2,4,2,10,5,8,8,8,8,8,6,9,13,17,9,16,8,8,4,7,5,5,3,8,8,3,8,10,4,8,1,5,9,1,1,0,2,4,1,11
17,3,7,12,3,11,3,6,4,0,1,7,4,7,3,18,29,14,0,0,0,1,0,0,0,0,2,5,3,28,8,13,26,29,37,60,22,23,12,14,48,30,2,0,14,8,7,6,1
16,30,36,24,23,38,22,33,11,12,14,23,13,5,6,2,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,15,15,6,18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,2,1,2,0,0,0,0,2,1,2,1,1,0,0,0,1,4,0,2,0,0,0,0,0,0,0
8,3,4,3,1,0,0,1,1,1,0,0,1,0,0,1,3,3,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,1,4,1,4,1,15,11,9,18,9,12,3
23,11,23,13,12,16,9,8,9,3,3,6,5,4,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,6,17,1,1,9,16,15,24
15,14,17,2,13,5,10,12,6,5,8,7,4,4,3,9,9,3,1,0,0,1,0,0,0,0,1,1,3,7,10,11,9,5,18,15,13,9,8,4,18,17,9,0,2,7,11,13,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,2,0,2,1,8,3,3,5,2,3,3,2,1,4,5,3,0,2,1,5,0,3
26,16,30,27,36,64,57,40,15,21,8,11,3,4,10,18,4,6,5,2,2,1,0,0,0,1,0,2,4,5,10,5,4,5,5,13,12,6,7,17,22,19,4,1,6,12,16,11,34
3,3,3,5,2,4,3,2,1,3,2,3,2,2,0,3,6,2,4,1,0,4,3,6,3,1,2,3,2,4,2,4,15,12,11,22,63,38,30,23,20,31,22,6,4,9,12,11,5
7,20,17,21,24,34,40,23,27,11,18,23,15,8,16,20,3,2,0,2,3,1,1,1,0,0,1,2,3,3,2,0,2,1,3,1,0,2,3,5,2,11,13,4,19,14,31,27,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,3,1,0,0,0,1,1,0,1,0,3,0,1,2,5,4,3,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,17,93,47,24,24,19,11,32,31,22,17,10,13,11,20,20,12,43,25,63,34,29,12,8,1,2,0,0,0,2,1,3,0
32,17,43,20,24,21,26,24,18,13,14,30,15,9,8,5,3,3,4,2,3,2,2,5,3,5,6,11,5,4,4,3,0,0,1,0,6,9,11,13,9,10,7,1,2,9,9,9,16
13,2,12,12,5,8,4,1,3,2,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,12,7,3,12,29
13,14,25,15,13,12,11,9,10,9,13,7,5,10,6,10,18,14,7,6,6,7,8,5,2,7,5,7,7,7,11,17,13,12,19,17,11,11,10,7,10,15,5,2,7,14,18,19,15
15,8,9,18,19,34,17,23,17,21,27,20,16,24,14,17,17,11,7,9,8,8,7,6,14,2,8,0,3,5,1,0,0,6,12,11,1,10,16,5,18,21,5,1,7,15,16,21,18
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,4,7,7,1,4,7,1,1,0,4,1,2,1,1,11,15,12,2,1,7,3,0,1,0,2,0,0,0,0,1,0,1,2
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,1,4,0,0,3,0,2,3,3,1,8,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,19,19,24,32,43,29,28,25,19,23,47,12,17,15,18,12,1,1,4,1,0,2,1,4,0,0,0,0,1,0,0,0,4,10,4,2,7,11,5,10,11,12,5,27,35,32,35,38
8,3,12,0,4,1,3,3,2,4,2,4,5,4,1,2,2,0,0,0,0,1,0,0,0,0,0,1,1,6,3,3,4,8,14,6,4,7,0,4,7,12,4,0,2,4,2,7,7
2,3,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,6,4,1
0,1,2,0,0,0,0,2,0,1,0,1,2,2,3,1,1,4,1,5,1,1,0,4,1,1,2,3,1,1,0,2,0,0,1,1,2,0,2,0,1,2,0,0,0,1,0,0,1
1,0,0,1,0,1,0,0,1,0,1,2,1,0,0,1,0,1,0,1,1,0,1,0,2,0,0,3,2,5,3,9,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,3,3,1,0,0,0,0,0,1,0,1,2,11,4,1,6,4,9,9,7,5,1,2,0,1,0,0,0,0,0,0
1,3,1,4,2,2,7,2,5,3,0,1,2,2,0,2,1,0,1,1,1,2,2,3,2,0,0,0,1,1,3,2,0,2,3,0,0,1,1,0,2,3,0,0,0,1,0,3,1
0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,1,1,3,3,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,1,0,1,0,2,1,0,2,0,0,6,3,4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0
73,42,106,85,70,87,74,96,72,62,100,108,106,112,99,94,159,157,140,107,70,96,76,81,82,63,70,64,43,51,44,48,42,59,55,74,54,53,90,70,67,60,51,20,35,56,64,45,84
9,3,9,17,3,9,6,8,7,0,3,4,1,5,2,10,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,25,28,3,1,11,12,27,14,9
1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2,1,1,4,0,0,2,2,1,0,1,3,0,0,2,0,0,2,0,0,1,4,3,2,2,3,2,2,4,3,2,2
2,3,3,3,3,4,3,5,7,2,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,2,0,4,3
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,2,1,1,2,1,0,0,0,2,6,6,0,4,5,4,2,1,1,0,1,2,2,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,5,2,1,13,2,4,2,3,5,7,1,13,1,3,3,12,15,6,25,17,10,8,3,2,8,5,2,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,2,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2
16,95,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,3,0,1,0,0,1,0,0,1,0,1,1,4
32,17,29,26,16,22,22,25,13,24,17,17,7,5,2,0,2,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,7,21,25,27,24
10,7,12,16,6,21,19,10,19,16,19,30,15,21,11,10,9,20,10,16,6,7,17,18,16,14,15,13,9,16,12,19,13,17,13,25,10,9,18,6,11,9,5,0,4,8,6,8,19
0,5,0,1,1,0,2,4,2,3,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,3,3,8,1,0
1,3,4,2,1,8,8,5,2,5,2,9,6,12,15,27,40,36,36,34,29,31,30,24,50,17,32,14,13,21,7,11,5,6,9,6,3,6,3,9,2,8,5,0,0,2,4,2,5
0,0,0,0,0,0,0,0,1,3,2,5,9,22,6,3,2,1,0,0,0,0,0,0,1,3,2,0,1,15,11,10,3,4,4,10,2,2,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,3,0,0,0,0,0,0,0,1,5,4,11,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0
1,0,0,0,0,0,0,1,0,0,0,2,9,28,22,31,21,30,45,17,35,15,13,21,24,21,16,16,7,13,9,21,17,12,16,22,15,14,10,1,2,0,0,0,0,0,0,0,0
6,4,4,2,10,14,14,11,9,9,12,14,9,11,7,9,5,21,22,7,3,9,9,3,1,5,2,1,4,2,2,1,5,4,4,3,4,5,7,3,4,3,7,0,1,2,7,1,13
39,15,41,33,23,27,37,20,35,21,17,26,19,15,14,11,11,15,6,6,11,6,6,15,11,4,5,4,11,2,9,9,5,4,12,15,23,18,15,15,30,22,20,7,23,25,48,38,59
29,10,26,29,17,28,32,35,18,18,18,51,49,46,46,49,58,47,51,70,56,56,63,62,73,56,56,65,57,85,59,47,46,34,32,55,38,35,37,20,40,34,22,4,1,13,16,9,24
0,0,0,0,0,0,0,0,0,0,3,6,9,43,34,45,62,64,56,47,33,37,23,22,31,13,15,20,13,10,13,5,7,19,3,13,1,0,0,1,0,0,0,0,0,0,0,0,0
34,26,33,28,47,32,29,42,21,22,15,14,3,8,10,4,6,0,0,5,3,0,1,2,3,0,3,1,1,5,3,8,11,6,18,26,12,21,10,16,12,9,13,5,19,31,61,31,71
12,12,16,15,11,17,8,19,20,11,10,17,17,22,20,21,40,66,30,64,30,16,19,26,33,17,19,7,18,26,14,10,8,5,15,14,21,19,13,23,12,11,10,3,10,13,11,15,9
30,13,22,24,30,38,26,19,18,7,26,17,14,12,23,25,23,9,7,3,3,4,1,2,5,1,6,39,5,7,13,7,18,23,29,26,30,24,35,41,38,44,23,2,9,11,32,16,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,3,4,4,3,5,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,15,0,6,5,1,4,17,10,7,14,4,13,13,21,4,1,2,5,4,11,2,0,1,3,4,0,1,5,0,0,1,4,1,0,2,0,1,1,1,4,3,1,0,0,1
20,17,35,14,17,27,16,18,25,17,24,24,9,22,7,17,10,4,10,6,0,2,0,0,2,1,0,2,0,0,0,1,1,1,0,1,0,2,0,1,1,1,0,0,2,7,15,10,14
0,0,1,0,0,1,4,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1
12,7,14,19,7,19,13,5,10,3,1,6,5,8,4,12,4,3,1,1,0,0,0,0,0,0,1,0,1,3,8,19,12,7,12,13,17,9,26,23,22,36,9,3,7,9,19,11,8
10,10,18,12,12,9,10,22,23,27,11,24,22,17,13,19,23,27,16,21,13,17,14,9,14,9,10,9,15,20,10,9,16,23,16,23,10,10,3,7,15,10,10,3,8,5,13,6,10
29,33,36,27,20,34,29,18,17,14,13,18,12,6,4,3,4,2,8,6,6,4,5,6,4,3,2,3,4,4,2,0,2,2,5,1,14,18,21,22,18,43,19,4,19,38,37,34,48
0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,8,5,4,7,2,0,1,2,1,0,2,1,1,0,0,0,3,2,0,0,0,0,1,0,2
1,0,0,0,0,0,2,2,1,1,1,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11,6,6,13,28,5,6,5,5,2,4,0,0,0,0,0,1,0
3,0,11,2,3,4,3,1,2,0,5,2,0,3,3,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,4,5,4,3,5,1,3,2,1,3,3,6,9,4
2,4,3,2,2,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,5,5,0,3,1,1,0,2,4,4,4,1,2,1,0,1,2,3,0,0,0,0,2,0,6
0,0,0,0,0,0,1,0,0,0,3,4,7,11,11,15,23,23,20,18,19,34,20,18,42,23,30,23,18,18,33,26,20,6,1,5,3,1,2,0,1,0,0,0,0,0,0,0,0
1,1,1,1,2,2,6,3,5,0,2,5,3,4,1,1,3,3,3,2,4,4,4,3,0,1,1,2,1,1,1,4,0,3,2,2,3,1,0,3,1,0,0,1,0,2,0,2,7
1,0,4,4,3,4,4,7,2,2,0,1,2,2,0,0,4,5,5,9,3,0,0,2,0,0,2,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,1,6,3,9,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,1,1,2,5,3,0,0,3,1,0,0,0,0,0,0,0,1
8,3,12,16,12,24,18,20,17,20,23,20,18,16,16,17,25,17,10,15,8,11,23,11,20,10,14,10,10,13,13,9,7,12,13,12,4,5,13,5,2,10,10,2,2,6,12,7,17
